post_id,post_type,post_thumbnail
523384824,product,http://cloud.buytrends.com/catalog/products/original/images/201309/05/1378346612244.jpg
523384827,product,http://cloud.buytrends.com/catalog/products/original/images/201308/28/1377662364503.jpg
523384832,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077584467.jpg
523384833,product,http://cloud.buytrends.com/catalog/products/original/images/201308/28/1377663547548.jpg
523384839,product,http://cloud.buytrends.com/catalog/products/original/images/201208/17/1345193947754.jpg
523386086,product,http://cloud.buytrends.com/catalog/products/original/images/201307/13/1373682662673.jpg
523386087,product,http://cloud.buytrends.com/catalog/products/original/images/201304/19/1366367586532.jpg
523386092,product,http://cloud.buytrends.com/catalog/products/original/images/201304/19/1366355253890.jpg
523386095,product,http://cloud.buytrends.com/catalog/products/original/images/201304/22/1366603440501.jpg
524215074,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077844109.jpg
524215075,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078083326.jpg
524215076,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078136756.jpg
524215077,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078143654.jpg
524215078,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339076802263.jpg
524215079,product,http://cloud.buytrends.com/catalog/products/original/images/201301/12/1357960871151.jpg
524215080,product,http://cloud.buytrends.com/catalog/products/original/images/201209/27/1348716312919.jpg
524215081,product,http://cloud.buytrends.com/catalog/products/original/images/201301/19/1358580429439.jpg
524215082,product,http://cloud.buytrends.com/catalog/products/original/images/201209/15/1347699331909.jpg
524215083,product,http://cloud.buytrends.com/catalog/products/original/images/201310/11/1381459061762.jpg
524215084,product,http://cloud.buytrends.com/catalog/products/original/images/201206/17/35191owpuricffp.jpg
524215086,product,http://cloud.buytrends.com/catalog/products/original/images/201209/18/1347936808656.jpg
524215087,product,http://cloud.buytrends.com/catalog/products/original/images/201209/18/1347937210120.jpg
524215088,product,http://cloud.buytrends.com/catalog/products/original/images/201209/18/1347937425483.jpg
524215089,product,http://cloud.buytrends.com/catalog/products/original/images/201209/18/1347937533889.jpg
524215091,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339076860227.jpg
524215092,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339076919670.jpg
524215093,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339076927382.jpg
524215094,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339076933614.jpg
524215095,product,http://cloud.buytrends.com/catalog/products/original/images/201301/21/1358760073757.jpg
524215096,product,http://cloud.buytrends.com/catalog/products/original/images/201301/21/1358759665635.jpg
524215097,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077145353.jpg
524215098,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077702869.jpg
524215099,product,http://cloud.buytrends.com/catalog/products/original/images/201310/29/1383041591701.jpg
524215100,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077945181.jpg
524215101,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077960144.jpg
524215102,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077981774.jpg
524215103,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077985587.jpg
524215104,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339077997561.jpg
524215105,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078008837.jpg
524215106,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078029709.jpg
524215107,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078050516.jpg
524215108,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078039153.jpg
524215109,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078091315.jpg
524215110,product,http://cloud.buytrends.com/catalog/products/original/images/201301/30/1359510464582.jpg
524215111,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078218935.jpg
524215112,product,http://cloud.buytrends.com/catalog/products/original/images/201301/22/1358848717860.jpg
524215113,product,http://cloud.buytrends.com/catalog/products/original/images/201301/11/1357886671907.jpg
524215115,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078155225.jpg
524215116,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078385456.jpg
524215117,product,http://cloud.buytrends.com/catalog/products/original/images/201301/11/1357898189105.jpg
524215118,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339078426328.jpg
524215119,product,http://cloud.buytrends.com/catalog/products/original/images/201301/26/1359182113268.jpg
524215120,product,http://cloud.buytrends.com/catalog/products/original/images/201305/23/1369303061705.jpg
524215121,product,http://cloud.buytrends.com/catalog/products/original/images/201305/23/1369302861402.jpg
524215122,product,http://cloud.buytrends.com/catalog/products/original/images/201305/24/1369359020854.jpg
524215123,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339081331246.jpg
524215124,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339081334149.jpg
524215125,product,http://cloud.buytrends.com/catalog/products/original/images/201206/07/1339081343381.jpg
