post_id,post_type,post_thumbnail
530454988,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9695pgreen.jpg
530454989,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9695ppink.jpg
530454990,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9696pblack.jpg
530454991,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9696pbrown.jpg
530454992,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9700pblack.jpg
530454993,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9700pred.jpg
530454994,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9702pblack.jpg
530454995,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9702pblue.jpg
530454996,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9702pyellow.jpg
530454997,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9705pink.jpg
530454998,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9709pblack.jpg
530454999,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9712pgrey.jpg
530455000,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9718black.jpg
530455001,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9718xblack.jpg
530455002,product,http://www.amiclubwear.com/media/import/clothing-lingerie-q1-stm-9721xhpink.jpg
530455003,product,http://www.amiclubwear.com/media/import/clothing-outerwear-aaaa15-lv6329burgundymulti.jpg
530455004,product,http://www.amiclubwear.com/media/import/clothing-outerwear-ddd5-j634black.jpg
530455005,product,http://www.amiclubwear.com/media/import/clothing-outerwear-ddd5-j634white.jpg
530455006,product,http://www.amiclubwear.com/media/import/clothing-outerwear-ddd5-j635black.jpg
530455007,product,http://www.amiclubwear.com/media/import/clothing-outerwear-ddd5-j638black.jpg
530455008,product,http://www.amiclubwear.com/media/import/clothing-outerwear-ddd5-j638mocha.jpg
530455009,product,http://www.amiclubwear.com/media/import/clothing-outerwear-ddd5-j639burgundy.jpg
530455010,product,http://www.amiclubwear.com/media/import/clothing-outerwear-ddd5-j639charcoal.jpg
530455011,product,http://www.amiclubwear.com/media/import/clothing-outerwear-kkk4-8015brownmulti.jpg
530455012,product,http://www.amiclubwear.com/media/import/clothing-outerwear-kkk4-8015greymulti.jpg
530455013,product,http://www.amiclubwear.com/media/import/clothing-outerwear-kkk4-8015whitemulti.jpg
530455014,product,http://www.amiclubwear.com/media/import/clothing-outerwear-kkk9-j70278blackcream.jpg
530455015,product,http://www.amiclubwear.com/media/import/clothing-outerwear-kkk9-j70278maroonblack.jpg
530455016,product,http://www.amiclubwear.com/media/import/clothing-outewear-kkk4-sj24024blackwhite.jpg
530455017,product,http://www.amiclubwear.com/media/import/clothing-outewear-kkk4-sj24024peachblack.jpg
530455018,product,http://www.amiclubwear.com/media/import/clothing-outewear-kkk4-sj24024whiteblack.jpg
530455019,product,http://www.amiclubwear.com/media/import/clothing-outfit-bbbb5-31062drgreen.jpg
530455020,product,http://www.amiclubwear.com/media/import/clothing-outfit-bbbb5-31062drroyalblue.jpg
530455021,product,http://www.amiclubwear.com/media/import/clothing-outfit-e7-st-0009white.jpg
530455022,product,http://www.amiclubwear.com/media/import/clothing-outfit-e7-st-0009wine.jpg
530455023,product,http://www.amiclubwear.com/media/import/clothing-outfit-e7-t-3518-bred.jpg
530455024,product,http://www.amiclubwear.com/media/import/clothing-outfit-e7-t-3518-bwhite.jpg
530455025,product,http://www.amiclubwear.com/media/import/clothing-outfit-g8-cj4546red.jpg
530455026,product,http://www.amiclubwear.com/media/import/clothing-outfit-kkk4-16394kapplegreen.jpg
530455027,product,http://www.amiclubwear.com/media/import/clothing-outfit-kkk4-r4119blackmulti.jpg
530455028,product,http://www.amiclubwear.com/media/import/clothing-outfit-kkk9-aj9011blackwhite.jpg
530455029,product,http://www.amiclubwear.com/media/import/clothing-outfit-kkk9-aj9011white.jpg
530455030,product,http://www.amiclubwear.com/media/import/clothing-outfit-vvv6-p1071iblackwhite.jpg
530455031,product,http://www.amiclubwear.com/media/import/clothing-pants-kkk9-pl1070gblackmutli.jpg
530455032,product,http://www.amiclubwear.com/media/import/clothing-pants-vvv6-ap8016-52coralmulti.jpg
530455033,product,http://www.amiclubwear.com/media/import/clothing-pants-vvv6-ap8016-52tealmulti.jpg
530455034,product,http://www.amiclubwear.com/media/import/clothing-pants-vvv6-ap8035-5blackmulti.jpg
530455035,product,http://www.amiclubwear.com/media/import/clothing-pants-vvv6-ap8035-8brownmulti.jpg
530455036,product,http://www.amiclubwear.com/media/import/clothing-pants-vvv6-ap8036-2brownmulti.jpg
530455037,product,http://www.amiclubwear.com/media/import/clothing-pants-vvv6-ap8051-19forestgrnmulti.jpg
530455038,product,http://www.amiclubwear.com/media/import/clothing-shorts-kkk9-p1658applegreen.jpg
530455039,product,http://www.amiclubwear.com/media/import/clothing-skirt-kkk4-ms7162awineblack.jpg
530455040,product,http://www.amiclubwear.com/media/import/clothing-skirt-vvv6-sk7538-6royalbluewhite.jpg
530455041,product,http://www.amiclubwear.com/media/import/clothing-skirt-vvv6-sk7538-7blackwhite.jpg
530455042,product,http://www.amiclubwear.com/media/import/clothing-sweater-cccc2-fh4678-abahamablue.jpg
530455043,product,http://www.amiclubwear.com/media/import/clothing-sweater-cccc2-fh4678-acoral.jpg
530455044,product,http://www.amiclubwear.com/media/import/clothing-sweater-cccc2-fh4678-anavy.jpg
530455045,product,http://www.amiclubwear.com/media/import/clothing-sweater-cccc2-fh4678-ared.jpg
530455046,product,http://www.amiclubwear.com/media/import/clothing-sweater-ddd5-020614sblackmulti.jpg
530455047,product,http://www.amiclubwear.com/media/import/clothing-sweater-kkk4-2375blackmulti.jpg
530455048,product,http://www.amiclubwear.com/media/import/clothing-sweater-kkk4-2375maroonmulti.jpg
