post_id,post_type,post_thumbnail

517638306,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-akara-2_gold_1.jpg

517638307,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-akara-3_black_1.jpg

517638310,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-eva-1_nude_1.jpg

517638314,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-eva-5_mint_1.jpg

517638316,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-jada-2_white_1_1.jpg

517638317,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-mari-1_pink_1.jpg

517638318,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-mari-2_brown_1.jpg

517638319,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-mona-1_pink_1.jpg

517638320,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-mona-2_mint_1.jpg

517638321,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-rk-mona-3_gold_1.jpg

517638322,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-dresses-sym-d16007_black_1.jpg

517638323,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-flats-jpo-avery-72_black_1_1.jpg

517638324,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-flats-jpo-avery-72_rasp_1_1.jpg

517638325,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-socialite-77_black_1.jpg

517638326,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-socialite-77_natural_1.jpg

517638327,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-dresses-sym-d16374_black_1.jpg

517638328,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-srl-arion_black_1_1.jpg

517638329,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-srl-arion_white_1_1.jpg

517638330,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-bottoms-skirts-lef-0657_black_1.jpg

517638331,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-bottoms-skirts-lef-0734-1_blackwhite_1.jpg

517638334,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-dresses-tc--d2642_blue_1.jpg

517638335,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-flats-jpo-sami-08a_black_1.jpg

517638337,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-flats-jpo-waranda-11_black_1.jpg

517638338,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-flats-jpo-waranda-11_natural_1.jpg

517638339,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-bottoms-skirts-tc-s5313_black_1.jpg

517638340,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-flats-lfi-starla-79_darkfuchsia_1.jpg

517638343,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-bottoms-skirts-tc-s5627_black_1.jpg

517638344,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-bottoms-skirts-tc-s5830-1_royalblue_1.jpg

517638345,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-bottoms-skirts-tc-s5830_black_1.jpg

517638347,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-bottoms-skirts-tc-s6420-2_black_1.jpg

517638349,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-dresses--tt-td4579_black_1_2.jpg

517638350,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heel-bii-elle10_blue_1.jpg

517638351,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heel-jpo-enzo-16_black_1.jpg

517638353,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-tops-blouse-lef-0431-4_pink_1.jpg

517638354,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-tops-blouse-lef-0455-1_red_1.jpg

517638355,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-tops-blouse-lef-0455-2_blue_1.jpg

517638356,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-tops-blouse-lef-0455-3_emerald_1.jpg

517638358,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-alba-yang3_coral_1.jpg

517638359,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-alba-yang3_lime_1.jpg

523722674,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-dresses-sole-s3d2662s70_plum_1.jpg

523722675,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-tops-nav-bt2075-g_gold_1.jpg

523722676,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-tops-nav-bt2075-s_silver_1.jpg

523722681,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-booties-elc-interest-21_white_1.jpg

523722682,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-eec-nelly-14-blk_black_1.jpg

523722683,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-eec-nelly-14-burg_burgundy_1.jpg

523722684,product,http://www.cicihot.com/media/catalog/product/s/h/shoes-heels-eec-nelly-1_black_1.jpg

523722685,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-dresses-sole-s3d2948e40_black_1.jpg

523722686,product,http://www.cicihot.com/media/catalog/product/c/l/clothing-tops-outerwear-voll-t381_blackwhite_1.jpg

