post_id,post_type,post_thumbnail
10000,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/c/l/clothing-outfit-xxx4-1089red.jpg

10001,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/s/w/swimsuit-twopiece-clr-01256red.jpg

10002,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/c/l/clothing-dress-bbbb10-883720redblack.jpg

10003,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/c/l/clothing-dress-xxx4-1053red.jpg

10004,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/i/m/img_1018_1.jpg

10005,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/c/l/clothing-dress-a9-d3727red.jpg

10006,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/s/h/shoes-heels-mmc-estela-1redmulticanvas.jpg

10007,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/s/h/shoes-heels-ki-luxy-13red.jpg

10008,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/c/l/clothing-dress-xxx4-1043red.jpg

10009,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/c/l/clothing-dress-xxx4-1048red.jpg

10010,product,http://lghttp.17106.nexcesscdn.net/808773/magento/media/catalog/product/cache/1/image/420x630/9df78eab33525d08d6e5fb8d27136e95/c/l/clothing-dress-xxx4-1050red.jpg

